index,R01_06_CO201,R01_06_FCI01,R01_06_MVV01,R01_06_TRU01,HTR9_VES01_SI01,HTR9_VES01_TUD01,HTR9_VEN02_Status,HTRK_RAD01_TR02
2025-09-06 10:00:00+00:00,444.98,0.0,0,24.1,146.2884275,17.47633333,1,25.0
2025-09-06 11:00:00+00:00,439.9,0.0,0,24.19272727,758.4835304,18.45114286,1,25.0
2025-09-06 12:00:00+00:00,436.1,0.0,0,24.4,648.8219158,19.16536797,1,25.0
2025-09-06 13:00:00+00:00,432.6272727,0.0,0,24.637,579.9251918,19.248,1,25.1
2025-09-06 14:00:00+00:00,430.3466886,0.0,0,25.19739496,488.1279732,19.32350649,1,25.1
2025-09-06 15:00:00+00:00,429.3566176,0.0,0,25.86436006,363.4313765,19.23081731,1,25.1
2025-09-06 16:00:00+00:00,427.0,0.0,0,26.5,223.6571818,19.02333333,1,25.1
2025-09-06 17:00:00+00:00,426.4688889,0.0,0,26.7,79.4994697,18.75466667,1,25.1
2025-09-06 18:00:00+00:00,426.8112554,0.0,0,26.36863082,1.380856479,17.11555556,1,25.1
2025-09-06 19:00:00+00:00,426.0,0.0,0,26.0,0.0,16.34,1,25.1
2025-09-06 20:00:00+00:00,428.7339367,0.0,0,25.7,0.0,16.01692308,1,25.1
2025-09-06 21:00:00+00:00,431.055,0.0,0,25.5,0.0,16.3,1,25.1
2025-09-06 22:00:00+00:00,438.1349206,0.0,0,25.21923077,0.0,16.2,1,25.11888889
2025-09-06 23:00:00+00:00,446.6285714,0.0,0,25.0,0.0,17.15693182,1,25.2
2025-09-07 00:00:00+00:00,460.2977273,0.0,0,24.8,0.0,17.16422222,1,25.3
2025-09-07 01:00:00+00:00,464.9428571,0.0,0,24.7,0.0,16.75747253,1,25.3
2025-09-07 02:00:00+00:00,468.0,0.0,0,24.68923077,0.0,16.69327273,1,25.3
2025-09-07 03:00:00+00:00,474.8934524,0.0,0,24.6,0.0,16.47772727,1,25.3
2025-09-07 04:00:00+00:00,478.6666667,0.0,0,24.5,0.067943182,15.1,1,25.2
2025-09-07 05:00:00+00:00,477.0597222,0.0,0,24.3,34.27672515,14.97809524,1,25.2
2025-09-07 06:00:00+00:00,473.9019048,0.0,0,24.4,159.1646996,15.19545455,1,25.2
2025-09-07 07:00:00+00:00,461.0066667,0.0,0,24.4,293.9906667,16.4,1,25.2
