,R05_07_N_CO201,R05_07_N_FCI01_1,R05_07_N_MVV01,R05_07_N_TRU01,R05_07_V_CO201,R05_07_V_FCI01_1,R05_07_V_MVV01,R05_07_V_TRU01,HTR9_VEN01_TI01,HTR9_VES01_AZ01,HTR9_VES01_SI01,HTR9_VES01_SV01,HTR9_VES01_TUD01
2025-08-03 07:40:00+00:00,416.1687081,0,0,23.7,413.9225,0,0,23.4,24.26355556,110.64,72.4137,34.19792208,15.30991453
2025-08-03 07:45:00+00:00,416.5419608,0,0,23.7,413.5857143,0,0,23.4,24.2,111.7171429,70.25694286,34.75,15.4
2025-08-03 07:50:00+00:00,415.9211111,0,0,23.7,413.0600358,0,0,23.4,24.14,112.9435,69.99492251,35.44484127,15.4435
2025-08-03 07:55:00+00:00,415.2363636,0,0,23.7,412.9,0,0,23.4,24.1,114.38,84.69069856,36.26285714,15.47714286
2025-08-03 08:00:00+00:00,415.7455357,0,0,23.7,412.2232143,0,0,23.4,24.1,115.425,90.00010747,36.84330357,15.5
2025-08-03 08:05:00+00:00,415.6541979,0,0,23.7,413.1544498,0,0,23.4,24.1,116.478,77.55475789,37.31777778,15.56311111
2025-08-03 08:10:00+00:00,415.0011367,0,0,23.7,412.3846154,0,0,23.4,24.1,117.5926517,61.93436562,37.88074697,15.53344538
2025-08-03 08:15:00+00:00,414.855,0,0,23.7,411.8923077,0,0,23.4,24.1,118.4485714,53.7,38.32,15.48
2025-08-03 08:20:00+00:00,415.9111111,0,0,23.7,411.6879121,0,0,23.4,24.1,120.54,40.85270629,39.32,15.4
2025-08-03 08:25:00+00:00,415.295,0,0,23.7,412.7493506,0,0,23.4,24.1,122.0496429,41.29596017,40.02892857,15.4
2025-08-03 08:30:00+00:00,415.1142857,0,0,23.7,412.2287356,0,0,23.4,24.1,123.2567857,45.5105303,40.55064286,15.40925714
2025-08-03 08:35:00+00:00,414.0787879,0,0,23.7,412.4161616,0,0,23.4,24.1,124.7216667,53.42709091,41.197,15.40754575
2025-08-03 08:40:00+00:00,414.02,0,0,23.7,412.9714286,0,0,23.4,24.1,125.82,43.62430423,41.7,15.33833333
2025-08-03 08:45:00+00:00,413.9764706,0,0,23.7,412.7511785,0,0,23.4,24.1,127.3169231,46.62347441,42.28578089,15.36767832
2025-08-03 08:50:00+00:00,413.9818182,0,0,23.7,412.0833333,0,0,23.4,24.1,128.7146667,54.50525,42.82571429,15.39986667
2025-08-03 08:55:00+00:00,414.1055556,0,0,23.7,412.5357143,0,0,23.4,24.1,129.575,60.2967735,43.15625,15.428125
2025-08-03 09:00:00+00:00,414.0515152,0,0,23.7,412.3818182,0,0,23.4,24.1,131.6490909,77.92198788,43.966,15.43454545
2025-08-03 09:05:00+00:00,414,0,0,23.7,412,0,0,23.4,24.1,133.1422222,80.95737368,44.43431818,15.5
2025-08-03 09:10:00+00:00,414,0,0,23.7,412,0,0,23.4,24.1,134.62,69.9622,45,15.504
2025-08-03 09:15:00+00:00,413.5232323,0,0,23.7,412,0,0,23.4,24.1,136.4741667,75.63935714,45.60666667,15.502
2025-08-03 09:20:00+00:00,413.5587115,0,0,23.7,412.0447222,0,0,23.4,24.1,137.7788034,78.39379167,46.00598291,15.56589744
2025-08-03 09:25:00+00:00,414.2132109,0,0,23.7,411.98,0,0,23.4,24.1,139.6826667,64.0478,46.62228571,15.56877273
2025-08-03 09:30:00+00:00,413.9386364,0,0,23.7,411.1990909,0,0,23.4,24.1,141.34,50.95435944,47.08142857,15.5098
2025-08-03 09:35:00+00:00,413.3660131,0,0,23.7,411.3277592,0,0,23.4,24.1,142.9763492,54.43119287,47.53952381,15.492
2025-08-03 09:40:00+00:00,413.7666667,0,0,23.7,411.4,0,0,23.4,24.1,144.5292308,59.91806667,47.95367521,15.49049573
2025-08-03 09:45:00+00:00,412.59,0,0,23.7,412.4768639,0,0,23.4,24.1,146.1312308,45.61134536,48.30777778,15.44843736
2025-08-03 09:50:00+00:00,413.1555556,0,0,23.7,411.65,0,0,23.4,24.1,147.9926667,38.32301754,48.7475,15.4115
2025-08-03 09:55:00+00:00,413.3111111,0,0,23.7,410.8035714,0,0,23.4,24.1,149.425,48.73782738,49.1,15.4775
2025-08-03 10:00:00+00:00,414.1291176,0,0,23.7,410.0290778,0,0,23.4,24.1,150.7923333,68.28808425,49.3989899,15.5
2025-08-03 10:05:00+00:00,414.0695652,0,0,23.7,410.8,0,0,23.4,24.1,152.9233333,84.69268065,49.79428571,15.58571429
2025-08-03 10:10:00+00:00,413.8933333,0,0,23.7,410.4337179,0,0,23.4,24.1,154.6183333,98.56455238,50.12444444,15.60075
2025-08-03 10:15:00+00:00,413.99,0,0,23.7,410.7681481,0,0,23.4,24.1,155.9844841,104.8525593,50.30737374,15.70027506
2025-08-03 10:20:00+00:00,413.827607,0,0,23.7,410.0677249,0,0,23.4,24.14779221,158.4821905,127.0209866,50.72,15.8
2025-08-03 10:25:00+00:00,414,0,0,23.7,409.9846154,0,0,23.4,24.2,160.0325,156.8674505,50.92,15.842
2025-08-03 10:30:00+00:00,413.3142857,0,0,23.7,410.64,0,0,23.4,24.2,161.9913333,174.4883026,51.233,15.90633333
2025-08-03 10:35:00+00:00,413.7569444,0,0,23.7,409.5,0,0,23.4,24.2,163.9569444,286.1926667,51.39055556,15.99772222
2025-08-03 10:40:00+00:00,412.7862598,0,0,23.74888889,409.4203814,0,0,23.4,24.2,165.3590476,267.4962804,51.53904762,16.07765
2025-08-03 10:45:00+00:00,411.4909091,0,0,23.8,410.1445887,0,0,23.4,24.2,167.8022222,190.2340404,51.81555556,16.202
2025-08-03 10:50:00+00:00,411.0882353,0,0,23.8,410.4125,0,0,23.4,24.2,169.6059524,221.0214583,51.93452381,16.21452381
2025-08-03 10:55:00+00:00,411.7299465,0,0,23.8,410.1201243,0,0,23.48,24.2,171.1014286,233.6650417,52.02028571,16.25648571
2025-08-03 11:00:00+00:00,411.3266667,0,0,23.8,408.7619048,0,0,23.5,24.25020979,173.408,178.8924056,52.16,16.37
