,HTRK_VEN01_EM01_P,HTRK_VEN01_FCI01
2025-09-25 06:50:00+00:00,6.872848485,14410.96126
2025-09-25 06:55:00+00:00,6.81387025,14592.81363
2025-09-25 07:00:00+00:00,7.167208333,14741.94737
2025-09-25 07:05:00+00:00,7.0355547,14898.46146
2025-09-25 07:10:00+00:00,7.344171958,15261.25211
2025-09-25 07:15:00+00:00,7.559490909,15517.27725
2025-09-25 07:20:00+00:00,7.664777778,15744.54364
2025-09-25 07:25:00+00:00,7.505416667,15630.45714
2025-09-25 07:30:00+00:00,7.598015152,15797.50293
2025-09-25 07:35:00+00:00,7.776468961,16035.12171
2025-09-25 07:40:00+00:00,7.682506266,16026.9624
2025-09-25 07:45:00+00:00,7.733833333,16009.804
2025-09-25 07:50:00+00:00,7.91860167,16029.59867
2025-09-25 07:55:00+00:00,7.965909091,16285.91582
2025-09-25 08:00:00+00:00,8.2,16531.67575
2025-09-25 08:05:00+00:00,8.402939687,16561.05231
2025-09-25 08:10:00+00:00,8.639477778,16785.602
2025-09-25 08:15:00+00:00,8.517711765,16783.86546
2025-09-25 08:20:00+00:00,8.662393939,16856.7083
2025-09-25 08:25:00+00:00,8.864833333,17132.36943
2025-09-25 08:30:00+00:00,8.9,17196.65
2025-09-25 08:35:00+00:00,8.995844697,17548.82198
2025-09-25 08:40:00+00:00,9.202914141,17786.46204
2025-09-25 08:45:00+00:00,9.375838384,18139.42309
2025-09-25 08:50:00+00:00,9.574930303,18536.3017
2025-09-25 08:55:00+00:00,9.954237762,19020.424
2025-09-25 09:00:00+00:00,10.165,19338.38622
2025-09-25 09:05:00+00:00,10.1458,19387.544
2025-09-25 09:10:00+00:00,10.40884615,19589.36929
2025-09-25 09:15:00+00:00,10.77798437,19957.35587
2025-09-25 09:20:00+00:00,10.9684385,20233.65215
2025-09-25 09:25:00+00:00,11.1987619,20649.52711
2025-09-25 09:30:00+00:00,11.65248889,21086.20787
2025-09-25 09:35:00+00:00,11.93284848,21268.48571
2025-09-25 09:40:00+00:00,12.018,21479.82589
2025-09-25 09:45:00+00:00,12.29041667,21758.03565
2025-09-25 09:50:00+00:00,12.56424286,22060.524
2025-09-25 09:55:00+00:00,12.80483162,22320.077
2025-09-25 10:00:00+00:00,12.76222,22624.14396
2025-09-25 10:05:00+00:00,13.16140909,22810.378
2025-09-25 10:10:00+00:00,13.49368889,23179.09228
2025-09-25 10:15:00+00:00,13.80916667,23652.96
2025-09-25 10:20:00+00:00,13.89865359,23725.67265
2025-09-25 10:25:00+00:00,14.06075,23940.75459
2025-09-25 10:30:00+00:00,14.646,24071.36925
2025-09-25 10:35:00+00:00,14.242,23984.698
2025-09-25 10:40:00+00:00,14.35123333,24195.01511
2025-09-25 10:45:00+00:00,14.40552,24274.56292
2025-09-25 10:50:00+00:00,14.45433825,24287.37267
2025-09-25 10:55:00+00:00,14.60296228,24352.86356
2025-09-25 11:00:00+00:00,14.668,24315.3336
2025-09-25 11:05:00+00:00,14.9247033,24225.412
2025-09-25 11:10:00+00:00,14.74094737,24349.785
2025-09-25 11:15:00+00:00,14.92200723,24455.82834
2025-09-25 11:20:00+00:00,15.03142265,24399.5464
2025-09-25 11:25:00+00:00,15.00679924,24407.32056
