,HTRK_VEN01_COM01_P,HTRK_VEN01_EM01_P
2025-05-25 09:30:00+00:00,0.0,0.11
2025-05-25 09:45:00+00:00,0.0,0.11030303030000001
2025-05-25 10:00:00+00:00,0.0,0.11
2025-05-25 10:15:00+00:00,0.0,0.11
2025-05-25 10:30:00+00:00,0.0,0.1042857143
2025-05-25 10:45:00+00:00,0.0,0.03
2025-05-25 11:00:00+00:00,0.0,0.03
2025-05-25 11:15:00+00:00,0.0,0.03
2025-05-25 11:30:00+00:00,0.0,0.03
2025-05-25 11:45:00+00:00,0.0,0.03
2025-05-25 12:00:00+00:00,0.0,0.03
2025-05-25 12:15:00+00:00,0.0,0.03
2025-05-25 12:30:00+00:00,0.0,0.03
2025-05-25 12:45:00+00:00,0.0,0.03
2025-05-25 13:00:00+00:00,0.0,0.03
2025-05-25 13:15:00+00:00,0.0,0.03
2025-05-25 13:30:00+00:00,0.0,0.03
2025-05-25 13:45:00+00:00,0.0,0.03
2025-05-25 14:00:00+00:00,0.0,0.03
2025-05-25 14:15:00+00:00,0.0,0.03
2025-05-25 14:30:00+00:00,0.0,0.03
2025-05-25 14:45:00+00:00,0.0,0.03
2025-05-25 15:00:00+00:00,0.0,0.03
2025-05-25 15:15:00+00:00,0.0,0.03
2025-05-25 15:30:00+00:00,0.0,0.03
2025-05-25 15:45:00+00:00,0.0,0.03
2025-05-25 16:00:00+00:00,0.0,0.03
2025-05-25 16:15:00+00:00,0.0,0.030769230800000002
2025-05-25 16:30:00+00:00,0.0,0.03
2025-05-25 16:45:00+00:00,0.0,0.03
2025-05-25 17:00:00+00:00,0.0,0.03
2025-05-25 17:15:00+00:00,0.0,0.03
2025-05-25 17:30:00+00:00,0.0,0.03
2025-05-25 17:45:00+00:00,0.0,0.03
2025-05-25 18:00:00+00:00,0.0,0.03
2025-05-25 18:15:00+00:00,0.0,0.03
2025-05-25 18:30:00+00:00,0.0,0.03
2025-05-25 18:45:00+00:00,0.0,0.03
2025-05-25 19:00:00+00:00,0.0,0.031577381
2025-05-25 19:15:00+00:00,0.0,0.03
2025-05-25 19:30:00+00:00,0.0,0.03
2025-05-25 19:45:00+00:00,0.0,0.03
2025-05-25 20:00:00+00:00,0.0,0.03
2025-05-25 20:15:00+00:00,0.0,0.03
2025-05-25 20:30:00+00:00,0.0,0.03
2025-05-25 20:45:00+00:00,0.0,0.03
2025-05-25 21:00:00+00:00,0.0,0.03
2025-05-25 21:15:00+00:00,0.0,0.03
2025-05-25 21:30:00+00:00,0.0,0.03
2025-05-25 21:45:00+00:00,0.0,0.0482727273
2025-05-25 22:00:00+00:00,0.0,0.0368529412
2025-05-25 22:15:00+00:00,0.0,0.03
2025-05-25 22:30:00+00:00,0.0,0.03
2025-05-25 22:45:00+00:00,0.0,0.0413504274
2025-05-25 23:00:00+00:00,0.0,0.11
2025-05-25 23:15:00+00:00,0.0,0.11
2025-05-25 23:30:00+00:00,0.0,0.11
2025-05-25 23:45:00+00:00,0.0,0.11
2025-05-26 00:00:00+00:00,0.0,0.11
2025-05-26 00:15:00+00:00,0.0,0.11
2025-05-26 00:30:00+00:00,0.0,0.11
2025-05-26 00:45:00+00:00,0.0,0.11
2025-05-26 01:00:00+00:00,0.0,0.11
2025-05-26 01:15:00+00:00,0.0,0.11
2025-05-26 01:30:00+00:00,0.0,0.11
2025-05-26 01:45:00+00:00,0.0,0.11
2025-05-26 02:00:00+00:00,0.0,0.11
2025-05-26 02:15:00+00:00,0.0,0.11
2025-05-26 02:30:00+00:00,0.0,0.11
2025-05-26 02:45:00+00:00,0.0,0.11
2025-05-26 03:00:00+00:00,0.0,7.1494351852
2025-05-26 03:15:00+00:00,0.0,6.2246242805
2025-05-26 03:30:00+00:00,0.0,5.575567008
2025-05-26 03:45:00+00:00,0.0,5.6655622955
2025-05-26 04:00:00+00:00,0.0,5.8209200836
2025-05-26 04:15:00+00:00,0.0,5.8808709602
2025-05-26 04:30:00+00:00,0.0,5.9167139603
2025-05-26 04:45:00+00:00,0.0,5.7670135083
2025-05-26 05:00:00+00:00,0.0,5.7552553753
2025-05-26 05:15:00+00:00,0.0,5.7551545579
2025-05-26 05:30:00+00:00,0.0,5.9287988484
2025-05-26 05:45:00+00:00,0.0,5.8451756649
2025-05-26 06:00:00+00:00,0.0,5.8739131232
2025-05-26 06:15:00+00:00,0.0,6.1574305958
2025-05-26 06:30:00+00:00,0.0,6.3546675884
2025-05-26 06:45:00+00:00,0.0,6.7400963203
2025-05-26 07:00:00+00:00,0.0,7.5476507177
2025-05-26 07:15:00+00:00,0.0,8.266439691
2025-05-26 07:30:00+00:00,0.0,8.7343844247
2025-05-26 07:45:00+00:00,0.0,9.2403087389
2025-05-26 08:00:00+00:00,0.0,10.177667699
2025-05-26 08:15:00+00:00,0.0,10.6542148387
2025-05-26 08:30:00+00:00,0.0,11.1262382073
2025-05-26 08:45:00+00:00,0.0,11.5959049062
2025-05-26 09:00:00+00:00,0.0,12.5938411638
2025-05-26 09:15:00+00:00,0.0,12.9417731023
2025-05-26 09:30:00+00:00,0.0,13.2544381908
2025-05-26 09:45:00+00:00,0.0,13.8279405343
2025-05-26 10:00:00+00:00,0.0,13.5911483213
2025-05-26 10:15:00+00:00,0.0,13.7458124613
2025-05-26 10:30:00+00:00,-0.3061403509,14.2983309003
2025-05-26 10:45:00+00:00,-1.9148629149,14.8774494332
2025-05-26 11:00:00+00:00,-4.4264052288,15.0399299048
2025-05-26 11:15:00+00:00,-3.0511073137,14.9069329916
2025-05-26 11:30:00+00:00,0.0,14.8860984235
2025-05-26 11:45:00+00:00,0.0,14.8706662167
2025-05-26 12:00:00+00:00,0.0,14.9269560386
2025-05-26 12:15:00+00:00,0.0,14.5392833333
