,R05_07_N_CO201,R05_07_N_FCI01_1,R05_07_N_TRU01,R05_07_V_CO201,R05_07_V_FCI01_1,R05_07_V_TRU01,HTRK_VEN01_TI01,HTR9_VES01_AZ01,HTR9_VES01_SI01,HTR9_VES01_SV01,HTR9_VES01_TUD01
2025-04-27 05:00:00+00:00,443.41541135,0.0,22.0,444.23535895,0.0,21.78051282,9.8078125,86.5,185.4874126,14.0,7.925000000000001
2025-04-27 06:00:00+00:00,442.204519125,0.0,22.0763376475,443.07472305,0.0,21.888375,9.97943749925,98.625,314.711593425,23.0,8.875
2025-04-27 07:00:00+00:00,440.400458325,0.0,22.1666666675,443.128241425,0.0,21.9278855525,10.2601128475,112.75,439.873864475,31.0,9.5
2025-04-27 08:00:00+00:00,439.70883952500003,0.0,22.2703125,442.599467325,0.0,22.0483333325,10.676800595,128.875,543.385876625,38.5,9.85
2025-04-27 09:00:00+00:00,438.293382875,0.0,22.34140625,441.117771075,0.0,22.115166667500002,11.19623264,145.625,624.0114899,44.25,9.875
2025-04-27 10:00:00+00:00,438.14650625,0.0,22.4,440.73906635000003,0.0,22.2,11.618031994999999,166.0,674.644791675,48.0,9.6
2025-04-27 11:00:00+00:00,437.078503475,0.0,22.4302291675,439.59290162499997,0.0,22.258125,12.026513145,187.916666675,684.1020139,48.75,10.025
2025-04-27 12:00:00+00:00,437.034427375,0.0,22.5212890625,438.735273625,0.0,22.390208335,12.437395835,208.5,656.4349404750001,46.25,10.725
2025-04-27 13:00:00+00:00,435.3871492,0.0,22.766944445,438.027253375,0.0,22.78171875,12.92827381,227.25,592.1201704499999,40.75,10.85
2025-04-27 14:00:00+00:00,434.79150642499997,0.0,23.1077083325,439.034609275,0.0,23.497230899999998,13.3306436025,243.25,494.759935875,34.0,12.075
2025-04-27 15:00:00+00:00,434.52201685,0.0,23.525761052500002,440.05406035,0.0,24.36037467,13.9374173275,257.5,374.33070055,26.0,12.1
2025-04-27 16:00:00+00:00,433.73447745,0.0,23.9378335,440.23739005,0.0,25.03360615,14.51384375,269.75,237.6377381,17.75,11.725000000000001
2025-04-27 17:00:00+00:00,434.219132525,0.0,24.1015625,439.86237339999997,0.0,24.9382589275,15.0036346725,282.5,110.7361904725,9.0,11.025
2025-04-27 18:00:00+00:00,434.844524675,0.0,23.9801041675,439.99813904999996,0.0,24.3874789175,15.259570312500001,294.75,13.5946428575,1.0,9.9
2025-04-27 19:00:00+00:00,434.853770675,0.0,23.667886905,439.46099655,0.0,23.8766962775,14.692544645,307.5,0.025,-6.25,8.85
2025-04-27 20:00:00+00:00,433.78179615,0.0,23.4121875,438.247820525,0.0,23.5286458325,13.5557506625,320.625,0.0,-12.25,8.35
2025-04-27 21:00:00+00:00,432.204582325,0.0,23.199296875,436.26125,0.0,23.221791035,12.505069322499999,335.25,0.0,-17.5,7.85
2025-04-27 22:00:00+00:00,431.2306063,0.0,22.9625,435.39695635,0.0,22.933987105,11.450365985,349.75,0.0,-20.0,8.325
2025-04-27 23:00:00+00:00,429.67137464999996,0.0,22.8186830375,433.31555285,0.0,22.714453125,10.28694097,50.125,0.0,-20.75,8.875
2025-04-28 00:00:00+00:00,428.08106292499997,0.0,22.651256945,430.971333275,0.0,22.563055555000002,9.70398214275,21.125,0.0,-19.0,9.075
2025-04-28 01:00:00+00:00,427.16069742499997,0.0,22.5375,429.315776975,0.0,22.3905052075,9.3667410715,35.125,0.0,-15.0,8.85
2025-04-28 02:00:00+00:00,434.355775825,0.0,22.481180555,440.538994725,0.0,22.304905635,9.25833333325,49.0,0.0,-9.5,7.7
2025-04-28 03:00:00+00:00,458.03032105,59.3564095775,22.448437499999997,462.321266725,58.31863016,22.2561481475,16.6572313625,62.25,3.8,-2.75,6.925
2025-04-28 04:00:00+00:00,480.472717925,67.159287555,22.3385274475,486.7848034,65.64529218,22.103125000000002,17.3,73.5,62.285727805,5.0,7.775
2025-04-28 05:00:00+00:00,519.0930897000001,64.77136792,22.4108308525,549.932147575,65.46645739249999,22.246944442500002,17.409719244999998,86.5,183.72537545,13.75,8.05
2025-04-28 06:00:00+00:00,653.7489510749999,62.8489734225,22.7518915725,665.4597347,66.201782435,22.7148582175,17.0430199675,98.625,311.835476175,24.0,10.375
2025-04-28 07:00:00+00:00,775.748612175,65.3706835825,23.37970792,784.73669875,78.51945487500001,23.324877190000002,17.0622123575,112.25,433.51304945,32.0,13.325
2025-04-28 08:00:00+00:00,754.268033625,65.8699204275,23.81891059,754.66010405,73.686370465,23.5818415575,17.1434288425,128.375,538.132321425,39.5,15.3
2025-04-28 09:00:00+00:00,706.284172425,64.5868373375,23.90453373,717.30576035,66.62941259750001,23.5929194575,17.0949583325,145.625,607.5697619,45.5,16.175
2025-04-28 10:00:00+00:00,677.209066875,65.892501985,23.96374256,674.82619015,61.194042055,23.6109375,17.1928931025,166.0,645.88333335,48.5,17.075
2025-04-28 11:00:00+00:00,697.3445201750001,93.18282721,24.144078705,681.222365925,60.0474000525,23.8257490075,17.3462822425,187.916666675,642.655476175,48.75,17.6
2025-04-28 12:00:00+00:00,675.81870885,126.39268967500001,23.9878559025,657.6757321,59.6160774975,23.76461174,17.40122024,209.0,554.6933333249999,45.5,18.025
2025-04-28 13:00:00+00:00,610.9504461,115.005638275,24.004309275,593.0529556500001,60.7458139225,23.8517516125,16.65868841,227.25,578.746666675,40.5,18.4
2025-04-28 14:00:00+00:00,564.6071409,64.4669853525,23.973031745,567.928000375,61.914507175,24.0733333325,16.520660715,243.25,360.231666675,33.0,18.55
2025-04-28 15:00:00+00:00,534.1433967,62.046170610000004,24.0070202,542.3894957,62.020150997500004,24.039652385,16.995066514999998,257.75,226.45708332499999,25.0,17.8
2025-04-28 16:00:00+00:00,506.59660544999997,62.505605935,24.1328125,516.62276625,62.38827507,24.710375,16.960813367500002,270.0,225.12320970000002,17.0,18.3
2025-04-28 17:00:00+00:00,495.961878125,62.083743895,24.1344196425,504.46116237499996,62.0772885075,24.5693749975,17.0475074425,282.5,71.0068452375,8.0,17.375
2025-04-28 18:00:00+00:00,492.57185845,4.331811145,23.982954545,498.139461975,3.74813274,24.0472431325,17.05625,295.25,7.4125000000000005,0.25,16.375
2025-04-28 19:00:00+00:00,490.56749560000003,0.0,23.7651004475,495.272270175,0.0,23.701909722499998,17.307408855,307.5,0.0,-6.75,15.1
2025-04-28 20:00:00+00:00,488.563329875,0.0,23.5576190475,493.470903475,0.0,23.48,17.033203125,320.625,0.0,-13.0,13.75
2025-04-28 21:00:00+00:00,486.53869714999996,0.0,23.4263020825,490.88986165,0.0,23.2705208325,15.68706702,335.25,0.0,-17.5,12.75
2025-04-28 22:00:00+00:00,484.78433955,0.0,23.3216666675,488.435333875,0.0,23.0740234375,14.711449405,349.75,0.0,-19.75,12.225
2025-04-28 23:00:00+00:00,482.558626125,0.0,23.177734375,486.818243975,0.0,22.93,14.5059895825,50.125,0.0,-20.0,11.675
2025-04-29 00:00:00+00:00,480.615158275,0.0,23.0401041675,484.85170255,0.0,22.7875,14.1259107125,21.125,0.0,-18.25,11.175
2025-04-29 01:00:00+00:00,478.55973545,0.0,22.930164142499997,481.85788595,0.0,22.6737566125,13.42000372,35.125,0.0,-14.0,10.975
2025-04-29 02:00:00+00:00,482.040667875,0.0,22.8553311,495.30708535,0.0,22.638671875,12.83642113,48.5,0.0,-8.25,10.3
2025-04-29 03:00:00+00:00,510.3216658,55.0558365125,22.878124999999997,513.63892585,54.611746355,22.6046875,16.2115632275,61.75,1.95,-1.0,10.475
2025-04-29 04:00:00+00:00,503.62092759999996,61.1739805575,22.738675595,510.9031598,60.608623045,22.6,16.9950718775,73.5,26.879523810000002,7.0,10.55
2025-04-29 05:00:00+00:00,539.8860049,60.08174458,22.8556219,565.154307775,60.699598995,22.6810291725,17.11760119,86.5,153.7383333325,15.0,11.125
2025-04-29 06:00:00+00:00,674.3616486,60.651180415,23.148297785,690.283836125,60.310120337499995,23.18265311,16.9542881925,98.625,296.40500002500005,23.0,12.05
2025-04-29 07:00:00+00:00,774.1619742,70.6627836325,23.7169501475,768.1093199,67.719221165,23.607890625,16.992728505000002,112.25,437.662948725,31.5,12.7
2025-04-29 08:00:00+00:00,710.73035785,68.81026876249999,24.0208320575,727.949176025,69.012811275,23.752001489999998,16.8908353375,127.25,537.554523825,39.0,13.2
2025-04-29 09:00:00+00:00,673.0876991499999,97.4435360425,24.070491195,675.2536374250001,63.6743250325,23.7180521425,17.03841144,145.625,612.255000025,45.0,13.05
