Unnamed: 0,R01_07_CO201,R01_07_FCI01,R01_07_TRU01,HTR9_VES01_AZ01,HTR9_VES01_SI01,HTR9_VES01_SV01,HTR9_VES01_TUD01,HTRK_VEN01_TI01,R01_06_TRU01,R01_08_TRU01
2025-08-10 15:00:00+00:00,416.933052025,0.0,26.6533247175,255.7637616,454.27043119999996,28.146088962500002,20.6061117825,20.563584175000003,26.7264753175,26.0089102575
2025-08-10 16:00:00+00:00,419.727870175,0.0,27.2174167125,268.713684975,295.46460924999997,19.6262726,20.467526255,21.43044872,27.2359394075,26.5735586825
2025-08-10 17:00:00+00:00,421.133791425,0.0,27.528489235000002,280.98291205,148.511838985,11.04341337175,19.5615036625,21.5416964275,27.5606120625,26.895527245
2025-08-10 18:00:00+00:00,422.038145975,0.0,27.356080577500002,293.014698325,31.993393716249997,2.8928067837499998,18.2988324925,20.74485479,27.345001942499998,26.776309525000002
2025-08-10 19:00:00+00:00,421.64592634999997,0.0,27.0587370575,305.55804862499997,0.4800974785,-4.560189133250001,16.9562832375,19.94234349,27.048897772500002,26.54670635
2025-08-10 20:00:00+00:00,420.555508875,0.0,26.79932059,318.6872736,0.0,-10.930207680999999,16.364997215000002,19.3427615775,26.8151415475,26.317114834999998
2025-08-10 21:00:00+00:00,423.19387865,87.51323979,26.3651790275,332.62343645,0.0,-15.799499184999998,16.1662293625,17.388312499999998,26.4558169025,25.9203141275
2025-08-10 22:00:00+00:00,457.5612886,259.871003675,25.658811042499998,347.403446825,0.0,-18.776628455,15.088433275,16.253690475,25.70007961,25.24231372
2025-08-10 23:00:00+00:00,465.1303013,265.884903275,24.8993229475,110.5709719875,0.0,-19.5760786425,14.2757665575,15.5686609875,24.8661101025,24.5424553275
2025-08-11 00:00:00+00:00,463.82249194999997,269.786375325,24.354562065,17.7981945025,0.0,-18.0753563,13.956252505,15.131111109999999,24.290023945,24.1020116425
2025-08-11 01:00:00+00:00,463.319810525,268.588778,23.842862037499998,32.467342375,0.0,-14.447929782500001,13.581688945,14.919852562500001,24.0110659925,23.68255562
2025-08-11 02:00:00+00:00,465.1546517,267.948935275,23.427047835,46.01261913,0.0,-9.124606424,13.179153597500001,14.6404166675,23.7031564475,23.329904040000002
2025-08-11 03:00:00+00:00,464.881637675,231.7141638,23.2391201575,59.0162713,2.43705369325,-2.292734101,12.7832598025,16.7285989,23.541974342499998,23.168383929999997
2025-08-11 04:00:00+00:00,471.296635575,265.39129505,23.1407331475,71.26287016,33.507323615000004,5.35550023175,12.48607056,17.023928570000002,23.43271063,23.15765306
2025-08-11 05:00:00+00:00,477.80987407500004,266.698660175,23.1,83.490320495,107.837450945,13.742255454999999,13.2178642975,16.98677381,23.4057200275,23.074693987499998
2025-08-11 06:00:00+00:00,476.43447530000003,269.348674575,23.1269852975,95.7175403475,312.18065325,22.1932672575,14.68113217,17.044824787499998,23.73545292,22.920449735
2025-08-11 07:00:00+00:00,502.9022361,272.06114505,23.196423455,109.2953548,362.60631705000003,30.6945626475,16.29619703,17.04486768,24.0778331725,23.3414479025
2025-08-11 08:00:00+00:00,584.602106475,268.662497125,23.475735077499998,124.4120868,428.4671352,38.391657545,17.1194694375,17.3198809525,24.05784008,23.754579247499997
2025-08-11 09:00:00+00:00,832.879937,267.264613775,24.3415916725,141.6804943,387.86175290000006,44.61675141,17.635681984999998,17.273884265,24.0042317275,23.6741556125
2025-08-11 10:00:00+00:00,644.909672,269.867685775,24.483759735,162.169716025,446.359389125,48.7867655075,18.709523332499998,17.180079365,23.9997989175,23.806035715
2025-08-11 11:00:00+00:00,653.882489975,271.562277625,24.5278696,183.929345575,497.84188992500003,49.8670689075,18.8971111925,17.20430632,24.4254724025,24.0844871325
2025-08-11 12:00:00+00:00,703.653511525,267.28929382499996,24.7330279975,205.33117005,477.9234981,47.74157621,19.49472638,17.023717949999998,24.227297155,24.3475838675
2025-08-11 13:00:00+00:00,606.048666275,268.27359565,24.7359861325,224.79875995,360.03701795,42.733054877499995,19.338871055,16.959325395,24.228844997499998,24.140714285
2025-08-11 14:00:00+00:00,478.751811475,67.0590500025,24.69483826,241.2163025,365.8979032,35.91344377,19.8694454075,16.2730257925,24.4479578825,24.038434785
2025-08-11 15:00:00+00:00,465.341261875,52.75175237,24.7833062275,255.5618621,165.17511985,27.9228799125,19.7358424075,17.035444445,24.7594686775,24.1495833325
2025-08-11 16:00:00+00:00,454.42384145,52.8909729925,24.966404045,268.46098765,232.77981595,19.44139633,20.309658915,17.1223273825,25.008410582499998,24.3283742075
2025-08-11 17:00:00+00:00,452.846020925,53.2246696175,25.455087392499998,280.80967575,112.8664053625,10.805070861,20.1102361125,16.774940475,25.4500154325,24.654490742500002
